,word,wakachi,category
51,饂飩,饂飩,"['Udon noodle restaurant in Tokyo, Japan', 'Udon noodle restaurant in Tokyo, Japan', 'Kaiseki restaurant in Takamatsu, Japan', 'Udon noodle restaurant in Osaka, Japan', 'Udon noodle restaurant in Sapporo, Japan']"
52,オカラ,オカラ,"['City in Florida', 'City in Pakistan', 'Municipality in Brazil', 'College in Ocala, Florida', 'Monarch']"
53,おから,おから,"['Topic', 'Topic', '2015 film', 'Daimy', 'Television presenter']"
54,おから,おから,"['Topic', 'Topic', '2015 film', 'Daimy', 'Television presenter']"
55,おからパウダー,おから,"['Topic', 'Topic', '2015 film', 'Daimy', 'Television presenter']"
56,おからパウダー,パウダー,"['Film', 'Food additive', 'Sugar', 'Cocoa bean', 'Topic']"
57,卯の花,卯の花,"['Public bath in Nagai, Japan']"
58,おろしニンニク,ニンニク,"['Plants', 'Plants', 'Plants', 'Plants']"
59,おろしにんにく(チューブ),にんにく,"['Plants', 'Sports medicine physician in Takamatsu, Japan', 'Izakaya restaurant in Tokyo, Japan', 'Topic']"
60,おろしにんにく(チューブ),(,"['Chemical element', 'Topic', 'Topic', 'Topic']"
61,おろしにんにく(チューブ),チューブ,"['Band', 'Topic', 'Topic', 'Topic', 'Topic']"
62,おろしにんにく(チューブ),),"['Chemical element', 'Topic', 'Topic', 'Topic']"
63,ガーリック,ガーリック,"['Plants', 'Bread', 'Topic', 'Topic', 'Spice']"
64,ニンニク,ニンニク,"['Plants', 'Plants', 'Plants', 'Plants']"
65,にんにく(薄切り),にんにく,"['Plants', 'Sports medicine physician in Takamatsu, Japan', 'Izakaya restaurant in Tokyo, Japan', 'Topic']"
66,にんにく(薄切り),(,"['Chemical element', 'Topic', 'Topic', 'Topic']"
67,にんにく(薄切り),薄切り,[]
68,にんにく(薄切り),),"['Chemical element', 'Topic', 'Topic', 'Topic']"
69,にんにくおろし,にんにく,"['Plants', 'Sports medicine physician in Takamatsu, Japan', 'Izakaya restaurant in Tokyo, Japan', 'Topic']"
70,にんにくスライス,にんにく,"['Plants', 'Sports medicine physician in Takamatsu, Japan', 'Izakaya restaurant in Tokyo, Japan', 'Topic']"
71,にんにくスライス,スライス,"['Rock band', 'American-Bahamian mixed martial artist', 'Topic', 'American musician', 'Topic']"
72,ニンニクチューブ,ニンニク,"['Plants', 'Plants', 'Plants', 'Plants']"
73,ニンニクチューブ,チューブ,"['Band', 'Topic', 'Topic', 'Topic', 'Topic']"
74,ニンニクみじん切り,ニンニク,"['Plants', 'Plants', 'Plants', 'Plants']"
75,ニンニクみじん切り,みじん切り,['Topic']
76,にんにくみじん切り,にんにく,"['Plants', 'Sports medicine physician in Takamatsu, Japan', 'Izakaya restaurant in Tokyo, Japan', 'Topic']"
77,にんにくみじん切り,みじん切り,['Topic']
78,カステイラ,カステイラ,[]
79,かすていら,てい,['Web services company']
80,かすていら,ら,"['Dish', 'American sitcom', 'Kana', 'Racetrack in Hallandale Beach, Florida', 'Topic']"
81,カステーラ,カステーラ,['Municipality in Spain']
82,かすてーら,かす,"['Topic', 'Japanese professional baseball player', 'Japanese actress', 'Ski resort in Gujo, Japan', 'Topic']"
83,かすてーら,ー,"['2018 film', 'Company', 'Topic', 'Japanese YouTuber', 'Japanese actress']"
84,かすてーら,ら,"['Dish', 'American sitcom', 'Kana', 'Racetrack in Hallandale Beach, Florida', 'Topic']"
85,カステラ,カステラ,"['Topic', 'Musical group', 'Town in Germany', 'Topic', 'Topic']"
86,かすてら,かす,"['Topic', 'Japanese professional baseball player', 'Japanese actress', 'Ski resort in Gujo, Japan', 'Topic']"
87,カステラ,カステラ,"['Topic', 'Musical group', 'Town in Germany', 'Topic', 'Topic']"
88,かんぴょう,かん,"['Publishing company', '2013 film', 'Chinese writer', 'Inn in Hatsukaichi, Japan', 'Plants']"
89,かんぴょう,ぴょう,"['Japanese restaurant in Tokyo, Japan', 'Izakaya restaurant in Kikugawa, Japan']"
90,かんぴょう,かん,"['Publishing company', '2013 film', 'Chinese writer', 'Inn in Hatsukaichi, Japan', 'Plants']"
91,かんぴょう,ぴょう,"['Japanese restaurant in Tokyo, Japan', 'Izakaya restaurant in Kikugawa, Japan']"
92,乾ぴょう,乾,"['Unit of time', 'Topic', 'Topic', 'Topic', 'Chemical compound']"
93,乾ぴょう,ぴょう,"['Japanese restaurant in Tokyo, Japan', 'Izakaya restaurant in Kikugawa, Japan']"
94,乾瓢,乾瓢,"['Topic', 'Musical instrument']"
95,干ぴょう,干ぴょう,[]
96,干瓢,干瓢,['Company']
97,キクラゲ,キクラゲ,"['Fungus', 'Fungus', 'Fungus']"
98,きくらげ,きくらげ,[]
99,きくらげ,きくらげ,[]
100,白キクラゲ,白キクラゲ,[]
101,白きくらげ,くらげ,"['2013 film', 'Musician', 'Seafood restaurant in Otaru, Japan', 'Izakaya restaurant in Osaka, Japan']"
102,白木耳,白木,"['Japanese actress', 'Fungus', 'Topic', 'Railway station', 'Film actor']"
103,白木耳,耳,"['Topic', 'Topic', 'Disease', 'Medical condition', 'Topic']"
104,木クラゲ,木,"['Plants', 'Food', 'Topic', 'Plants', 'Fruit']"
105,木クラゲ,クラゲ,"['Topic', 'Animal', 'Topic', 'Aquarium in Tsuruoka, Japan', 'Topic']"
106,木くらげ,木,"['Plants', 'Food', 'Topic', 'Plants', 'Fruit']"
107,木くらげ,くらげ,"['2013 film', 'Musician', 'Seafood restaurant in Otaru, Japan', 'Izakaya restaurant in Osaka, Japan']"
108,木耳,木耳,"['Fungus', 'Military leader', 'Fungus', 'Stratovolcano in Guatemala', 'Plants']"
109,キムチ,キムチ,"['Topic', 'Company', 'Topic', 'Topic', 'Dish']"
110,キムチ,キムチ,"['Topic', 'Company', 'Topic', 'Topic', 'Dish']"
111,白菜キムチ,白菜,"['Vegetable', 'Vegetable', 'Vegetable', 'Dish', 'Plants']"
112,白菜キムチ,キムチ,"['Topic', 'Company', 'Topic', 'Topic', 'Dish']"
113,クリームシチューのもと,クリーム,"['Dairy product', 'Pharmaceutical', 'Band', 'Frozen dessert', 'Topic']"
114,クリームシチューのもと,シチュー,"['Food', 'Dish', 'Topic', 'Stew']"
115,クリームシチューのもと,もと,"['Topic', 'Film', 'Broadcast genre']"
116,クリームシチューのルー,クリーム,"['Dairy product', 'Pharmaceutical', 'Band', 'Frozen dessert', 'Topic']"
117,クリームシチューのルー,シチュー,"['Food', 'Dish', 'Topic', 'Stew']"
118,クリームシチューのルー,ルー,"['Topic', 'Fictional character', 'Plants', 'French singer-songwriter', 'Town in England']"
119,クリームシチューのルウ,クリーム,"['Dairy product', 'Pharmaceutical', 'Band', 'Frozen dessert', 'Topic']"
120,クリームシチューのルウ,シチュー,"['Food', 'Dish', 'Topic', 'Stew']"
121,クリームシチューのルウ,ルウ,"['Topic', 'Topic', 'Commune in France', 'Topic', 'Topic']"
122,クリームシチューの素,クリーム,"['Dairy product', 'Pharmaceutical', 'Band', 'Frozen dessert', 'Topic']"
123,クリームシチューの素,シチュー,"['Food', 'Dish', 'Topic', 'Stew']"
124,クリームシチューの素,素,"['Topic', 'Topic', 'Topic', 'Topic', 'Protein']"
125,クリームシチューの素,クリーム,"['Dairy product', 'Pharmaceutical', 'Band', 'Frozen dessert', 'Topic']"
126,クリームシチューの素,シチュー,"['Food', 'Dish', 'Topic', 'Stew']"
127,クリームシチューの素,素,"['Topic', 'Topic', 'Topic', 'Topic', 'Protein']"
128,クリームシチュールウ,クリームシチュールウ,[]
129,黒コショウ,黒,"['Color', 'Ethnicity', 'Form of rock', 'Film', '2011 film']"
130,黒コショウ,コショウ,"['Spice', 'Plants', 'Plants', 'Plants', 'Fish']"
131,ごま,ごま,"['Seed', 'Sumo wrestler', 'Japanese sumo wrestler', 'Topic', 'Voice actress']"
132,胡麻,胡麻,"['Seed', 'Plants', 'Topic', 'Plants', 'Dish']"
133,コンニャク,コンニャク,"['Plants', 'Plants', 'Plants', 'Topic', 'Topic']"
134,こんにゃく,こんにゃく,"['Theme park in Kanra, Japan', 'Topic', 'Buddhist temple in Tokyo, Japan', 'Konjac', 'Topic']"
135,こんにゃく,こんにゃく,"['Theme park in Kanra, Japan', 'Topic', 'Buddhist temple in Tokyo, Japan', 'Konjac', 'Topic']"
136,こんにゃく発表,こんにゃく,"['Theme park in Kanra, Japan', 'Topic', 'Buddhist temple in Tokyo, Japan', 'Konjac', 'Topic']"
137,こんにゃく発表,発表,"['Topic', 'Topic', 'Mobile application', 'Website']"
138,シラタキ,シラタキ,"['Railway station', 'Tourist attraction in Nikaho, Japan']"
139,つきコンニャク,コンニャク,"['Plants', 'Plants', 'Plants', 'Topic', 'Topic']"
140,つきこんにゃく,こんにゃく,"['Theme park in Kanra, Japan', 'Topic', 'Buddhist temple in Tokyo, Japan', 'Konjac', 'Topic']"
141,ツキコンンヤク,ツキコンンヤク,[]
142,玉コンニャク,玉,"['Gemstone', 'Plants', 'Gemstone', 'Plants', 'Vegetable']"
143,玉コンニャク,コンニャク,"['Plants', 'Plants', 'Plants', 'Topic', 'Topic']"
144,玉こんにゃく,玉こんにゃく,[]
145,刺身コンニャク,刺身,"['Topic', 'Topic', 'Japanese restaurant in Osaka, Japan', 'Izakaya restaurant in Tokyo, Japan', 'Topic']"
146,刺身コンニャク,コンニャク,"['Plants', 'Plants', 'Plants', 'Topic', 'Topic']"
147,刺身こんにゃく,刺身,"['Topic', 'Topic', 'Japanese restaurant in Osaka, Japan', 'Izakaya restaurant in Tokyo, Japan', 'Topic']"
148,刺身こんにゃく,こんにゃく,"['Theme park in Kanra, Japan', 'Topic', 'Buddhist temple in Tokyo, Japan', 'Konjac', 'Topic']"
149,糸コン,糸,"['Topic', 'Topic', 'Song by high_note Music Lounge', 'Disease', 'Topic']"
150,糸コン,コン,"['2012 film', 'Satellite television company', 'Topic', 'Vietnamese musician', 'Newspaper']"
151,糸こん,糸,"['Topic', 'Topic', 'Song by high_note Music Lounge', 'Disease', 'Topic']"
152,糸こん,こん,"['Japanese consultant', 'Topic', 'Manga series', 'Baseball outfielder', 'Comedian']"
153,糸コンニャク,糸,"['Topic', 'Topic', 'Song by high_note Music Lounge', 'Disease', 'Topic']"
154,糸コンニャク,コンニャク,"['Plants', 'Plants', 'Plants', 'Topic', 'Topic']"
155,糸こんにゃく,糸,"['Topic', 'Topic', 'Song by high_note Music Lounge', 'Disease', 'Topic']"
156,糸こんにゃく,こんにゃく,"['Theme park in Kanra, Japan', 'Topic', 'Buddhist temple in Tokyo, Japan', 'Konjac', 'Topic']"
157,白滝,白滝,"['Topic', 'Railway station', 'Railway station', 'Japanese inn with hot spring in Kokonoe, Japan', 'Tourist attraction in Nikaho, Japan']"
158,板コンニャク,板,"['Exercise', 'Topic', 'Wood', 'Topic', 'Topic']"
159,板コンニャク,コンニャク,"['Plants', 'Plants', 'Plants', 'Topic', 'Topic']"
160,板こんにゃく,板,"['Exercise', 'Topic', 'Wood', 'Topic', 'Topic']"
161,板こんにゃく,こんにゃく,"['Theme park in Kanra, Japan', 'Topic', 'Buddhist temple in Tokyo, Japan', 'Konjac', 'Topic']"
162,蒟蒻,蒟蒻,"['Plants', 'Theme park in Kanra, Japan', 'Topic', 'Topic', 'Japanese sweets restaurant in Hakone, Japan']"
163,シメジ,シメジ,"['Fungus', 'Musical group', 'Fungus', 'Fungus', 'Fungus']"
164,しめじ,しめじ,['Musical group']
165,アップルジャム,アップル,"['Technology company', 'Smartphone', 'Topic', 'Pie', 'Topic']"
166,アップルジャム,ジャム,"['Topic', 'Musical style', 'Rock band', 'Pakistani recording artist', 'City in India']"
167,アプリコットジャム,アプリコットジャム,[]
168,あんずジャム,あんず,"['Dried fruit', 'Topic', 'Song by Hiromi Igarashi', 'Topic', 'Tonkatsu restaurant in Fukuoka, Japan']"
169,あんずジャム,ジャム,"['Topic', 'Musical style', 'Rock band', 'Pakistani recording artist', 'City in India']"
170,イチゴジャム,イチゴ,"['Fruit', 'Plants', 'Syndrome', 'Topic', 'Japanese actor']"
171,イチゴジャム,ジャム,"['Topic', 'Musical style', 'Rock band', 'Pakistani recording artist', 'City in India']"
172,いちごジャム,いちご,"['Syndrome', 'Topic', 'Topic', 'Film', 'Manga series']"
173,いちごジャム,ジャム,"['Topic', 'Musical style', 'Rock band', 'Pakistani recording artist', 'City in India']"
174,ジャム,ジャム,"['Topic', 'Musical style', 'Rock band', 'Pakistani recording artist', 'City in India']"
175,ジャム,ジャム,"['Topic', 'Musical style', 'Rock band', 'Pakistani recording artist', 'City in India']"
176,パンプキンジャム,パンプキン,"['Topic', 'Dessert', 'Italian restaurant in Maebashi, Japan', 'Film', 'Topic']"
177,パンプキンジャム,ジャム,"['Topic', 'Musical style', 'Rock band', 'Pakistani recording artist', 'City in India']"
178,ブルーベリージャム,ブルーベリー,"['Berry', '2007 film', 'Film', 'Song by Vincent Rose', 'Indoor lodging in Minakami, Japan']"
179,ブルーベリージャム,ジャム,"['Topic', 'Musical style', 'Rock band', 'Pakistani recording artist', 'City in India']"
180,ブルベリージャム,ブルベリージャム,[]
181,マーマレードジャム,マーマレード,"['Fruit preserves', 'Band', 'South Korean television series', 'Song by Bob Crewe and Kenny Nolan', 'Fictional character']"
182,マーマレードジャム,ジャム,"['Topic', 'Musical style', 'Rock band', 'Pakistani recording artist', 'City in India']"
183,ママレードジャム,ママレード,"['Manga series', 'Comic book series']"
184,ママレードジャム,ジャム,"['Topic', 'Musical style', 'Rock band', 'Pakistani recording artist', 'City in India']"
185,マンゴージャム,マンゴー,"['Fruit', 'Plants', 'Airline', '2015 film', 'Novel by Sandra Cisneros']"
186,マンゴージャム,ジャム,"['Topic', 'Musical style', 'Rock band', 'Pakistani recording artist', 'City in India']"
187,ラズベリージャム,ラズベリー,"['Fruit', 'Plants', 'Topic', 'Award', 'Software developer']"
188,ラズベリージャム,ジャム,"['Topic', 'Musical style', 'Rock band', 'Pakistani recording artist', 'City in India']"
189,リンゴジャム,リンゴ,"['Fruit', 'Singer', 'Vinegar', 'Disease', 'Plants']"
190,リンゴジャム,ジャム,"['Topic', 'Musical style', 'Rock band', 'Pakistani recording artist', 'City in India']"
191,りんごジャム,ご,"['Japanese singer-songwriter', '2011 film', 'Chef', 'Japanese novelist', 'Sumo wrestler']"
192,りんごジャム,ジャム,"['Topic', 'Musical style', 'Rock band', 'Pakistani recording artist', 'City in India']"
193,柿ジャム,柿,"['Fruit', 'Plants', 'Plants', 'Plants', 'Dried fruit']"
194,柿ジャム,ジャム,"['Topic', 'Musical style', 'Rock band', 'Pakistani recording artist', 'City in India']"
195,金柑ジャム,金柑,"['Plants', 'Plants', 'Topic']"
196,金柑ジャム,ジャム,"['Topic', 'Musical style', 'Rock band', 'Pakistani recording artist', 'City in India']"
197,林檎ジャム,林檎,"['Japanese singer-songwriter', 'Plants', 'Topic', 'Topic', 'TV program']"
198,林檎ジャム,ジャム,"['Topic', 'Musical style', 'Rock band', 'Pakistani recording artist', 'City in India']"
199,苺ジャム,苺,"['Topic', 'Plants', 'Plants', 'Syndrome', 'Plants']"
200,苺ジャム,ジャム,"['Topic', 'Musical style', 'Rock band', 'Pakistani recording artist', 'City in India']"
201,オートミール,オートミール,"['Topic', 'Cookie']"
202,オールブラン,オールブラン,['Topic']
203,グラノーラ,グラノーラ,['Food']
204,コーンフレーク,コーン,"['Band', 'Breakfast cereal', 'Football team', 'English unitary authority', 'British duchess']"
205,コーンフレーク,フレーク,['Former United States Senator']
206,コーンフレークス,コーンフレークス,[]
207,シスコーンチョコリング,シスコーンチョコリング,[]
208,シリアル,シリアル,"['Topic', 'Topic', 'Topic', 'Topic', 'Topic']"
209,シリアル,シリアル,"['Topic', 'Topic', 'Topic', 'Topic', 'Topic']"
210,チーズグラノーラ,チーズグラノーラ,[]
211,チョコパフィ,チョコパフィ,[]
212,フルーツグラノーラ,フルーツグラノーラ,[]
213,フルグラ,フルグラ,['Manufacturing company']
214,玄米フレーク,玄米,['Rice']
215,玄米フレーク,フレーク,['Former United States Senator']
216,大豆グラノーラ,大豆,"['Legume', 'Food', 'Chemical compound', 'Yogurt', 'Topic']"
217,大豆グラノーラ,グラノーラ,['Food']
218,ゼライス,ゼライス,[]
219,セラチン,セラチン,[]
220,ゼラチン,ゼラチン,['Medication']
221,ゼラチン,ゼラチン,['Medication']
222,ゼリス,ゼリス,"['Family practice physician in Strongsville, Ohio']"
223,そうめん,めん,"['Fictional character', 'Card game', 'Topic', 'Topic', 'Animated series']"
224,そうめん,めん,"['Fictional character', 'Card game', 'Topic', 'Topic', 'Animated series']"
225,ソーメン,ソーメン,[]
226,そーめん,そ,"['Kana', 'Company', 'Voice actress', 'Japanese idol', 'Sumo wrestler']"
227,そーめん,ー,"['2018 film', 'Company', 'Topic', 'Japanese YouTuber', 'Japanese actress']"
228,そーめん,めん,"['Fictional character', 'Card game', 'Topic', 'Topic', 'Animated series']"
229,ひやむぎ,むぎ,"['Ramen restaurant in Tokyo, Japan', 'Japanese restaurant in Fukusaki, Japan', 'Cafe in Higashiura, Japan', 'Soba noodle shop in Sapporo, Japan', 'Ramen restaurant in Kagoshima, Japan']"
230,ふしめん,ふし,"['Manga series', 'Comic book series', 'Soy sauce maker in Bizen, Japan', 'Syokudo and teishoku restaurant in It, Japan', 'Japanized western restaurant in Sapporo, Japan']"
231,ふしめん,めん,"['Fictional character', 'Card game', 'Topic', 'Topic', 'Animated series']"
232,節麺,節,"['Topic', ""Saint's day"", 'Festivity', 'Celebration', 'Topic']"
233,節麺,麺,"['Food', 'Cooking utensil', 'Ramen restaurant in Yamatotakada, Japan', 'Dish', 'Company']"
234,素麺,素麺,"['Noodle', 'Food', 'Food', 'Topic', 'Confectionery in Fukui, Japan']"
235,半田麺,半田,"['City in Japan', 'Train station in Handa, Japan', 'Japanese actor', 'Japanese businessman', 'Movie theater in Handa, Japan']"
236,半田麺,麺,"['Food', 'Cooking utensil', 'Ramen restaurant in Yamatotakada, Japan', 'Dish', 'Company']"
237,冷麦,冷麦,"['Soba noodle shop in Tokyo, Japan', 'Soba noodle shop in Tokyo, Japan', 'Soba noodle shop in Tokyo, Japan', 'Soba noodle shop in Tokyo, Japan']"
238,ソバ,ソバ,"['Plants', 'Song by Sam Smith', 'Municipality in Spain', 'Song by BIGBANG', 'Plants']"
239,そば,そば,"['Dish', 'Dish', 'Topic', 'Noodle', 'Topic']"
240,そば,そば,"['Dish', 'Dish', 'Topic', 'Noodle', 'Topic']"
241,蕎麦,蕎麦,"['Japanese noodles', 'Izakaya restaurant in Nagoya, Japan', 'Dish', 'Soba noodle shop in Kutchan, Japan', 'Soba noodle shop in Tokyo, Japan']"
242,茶ソバ,茶,"['Beverage', 'Plants', 'Topic', 'Plants', 'Plants']"
243,茶ソバ,ソバ,"['Plants', 'Song by Sam Smith', 'Municipality in Spain', 'Song by BIGBANG', 'Plants']"
244,茶そば,茶,"['Beverage', 'Plants', 'Topic', 'Plants', 'Plants']"
245,茶そば,そば,"['Dish', 'Dish', 'Topic', 'Noodle', 'Topic']"
246,茶蕎麦,茶,"['Beverage', 'Plants', 'Topic', 'Plants', 'Plants']"
247,茶蕎麦,蕎麦,"['Japanese noodles', 'Izakaya restaurant in Nagoya, Japan', 'Dish', 'Soba noodle shop in Kutchan, Japan', 'Soba noodle shop in Tokyo, Japan']"
248,イチゴチョコ,イチゴ,"['Fruit', 'Plants', 'Syndrome', 'Topic', 'Japanese actor']"
249,イチゴチョコ,チョコ,"['Food', 'Chocolate shop in Onomichi, Japan', 'Cookie', 'Topic', 'Topic']"
250,イチゴチョコレート,イチゴ,"['Fruit', 'Plants', 'Syndrome', 'Topic', 'Japanese actor']"
251,イチゴチョコレート,チョコレート,"['Film', 'Food', '2001 film', 'Film', 'Film']"
252,チョコ,チョコ,"['Food', 'Chocolate shop in Onomichi, Japan', 'Cookie', 'Topic', 'Topic']"
253,ちょこ,ちょこ,"['Japanese illustrator', 'Topic', 'Izakaya restaurant in Fukuoka, Japan', 'Video game', 'Topic']"
254,チョコチップ,チョコ,"['Food', 'Chocolate shop in Onomichi, Japan', 'Cookie', 'Topic', 'Topic']"
255,チョコチップ,チップ,"['Topic', 'Topic', 'Cookie', 'Rapper', 'Food']"
256,チョコペン,チョコ,"['Food', 'Chocolate shop in Onomichi, Japan', 'Cookie', 'Topic', 'Topic']"
257,チョコペン,ペン,"['Topic', 'Pasta variety', 'Newspaper', 'US State', 'Newspaper']"
258,チョコレート,チョコレート,"['Film', 'Food', '2001 film', 'Film', 'Film']"
259,チョコレート,チョコレート,"['Film', 'Food', '2001 film', 'Film', 'Film']"
260,チョコレートチップ,チョコレート,"['Film', 'Food', '2001 film', 'Film', 'Film']"
261,チョコレートチップ,チップ,"['Topic', 'Topic', 'Cookie', 'Rapper', 'Food']"
262,チョコレートペン,チョコレート,"['Film', 'Food', '2001 film', 'Film', 'Film']"
263,チョコレートペン,ペン,"['Topic', 'Pasta variety', 'Newspaper', 'US State', 'Newspaper']"
264,ホワイトチョコ,ホワイト,"['2012 film', 'Color', '2013 film', 'Topic', 'Australian pornographic film actress']"
265,ホワイトチョコ,チョコ,"['Food', 'Chocolate shop in Onomichi, Japan', 'Cookie', 'Topic', 'Topic']"
266,ホワイトチョコレート,ホワイト,"['2012 film', 'Color', '2013 film', 'Topic', 'Australian pornographic film actress']"
267,ホワイトチョコレート,チョコレート,"['Film', 'Food', '2001 film', 'Film', 'Film']"
